# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/STU/HG03672/aligned/HG03672.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	4990740d	6aac8e86	0e613c02
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	55015578	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	55015578
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	27507789
SN	last fragments:	27507789
SN	reads mapped:	55013631
SN	reads mapped and paired:	55012548	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1947
SN	reads properly paired:	54788232	# proper-pair bit set
SN	reads paired:	55015578	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4826411	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	48965
SN	total length:	5497468490	# ignores clipping
SN	total first fragment length:	2748734245	# ignores clipping
SN	total last fragment length:	2748734245	# ignores clipping
SN	bases mapped:	5497279339	# ignores clipping
SN	bases mapped (cigar):	5489230371	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	18649228	# from NM fields
SN	error rate:	3.397421e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.5
SN	insert size average:	221.0
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	27417583
SN	outward oriented pairs:	5517
SN	pairs with other orientation:	4898
SN	pairs on different chromosomes:	78276
SN	percentage of properly paired reads (%):	99.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	16	0	0	96	0	0	114	141	183	5530	366	29808	9815	198	57	164	1368	11802	37535	22365	22131	485	5447	3914	11437	33468	99016	45308	201105	14249	88690	154602	228736	338477	534422	362416	330137	1097623	912774	2707040	1784626	5427407	12984737	0
FFQ	17	0	0	0	0	0	134	180	188	5318	500	28750	9258	238	84	217	1534	12207	38342	22853	22439	541	5613	3997	12620	35618	100757	46557	206115	14746	91986	160148	232158	345145	544004	369241	340425	1108535	921941	2736704	1794380	5463178	12831138	0
FFQ	18	0	0	0	0	0	176	163	239	6396	786	31734	10551	258	144	233	1824	12370	37296	23181	23000	627	5964	4099	13094	37048	99495	47190	204489	15140	91815	162767	234637	344746	547900	371379	347814	1112452	931328	2756870	1805638	5508241	12716705	0
FFQ	19	0	0	0	0	0	193	243	338	7598	1084	35500	11006	307	169	271	2216	12173	3507	64026	24629	655	6537	4631	14792	40784	101707	48316	209792	16005	95886	168621	239138	345427	337023	600292	357915	973577	929530	2290517	2160448	5696105	12706831	0
FFQ	20	0	0	37	0	0	190	268	359	6769	1301	30365	9427	372	214	291	2494	12373	4522	60838	24074	787	6936	4784	16021	43149	100551	49471	209404	16626	96196	173731	240758	347959	339995	609246	369402	980660	942107	2317241	2211407	5721173	12556291	0
FFQ	21	0	0	78	0	0	182	389	460	7483	1777	30490	9354	406	289	349	2937	13358	5487	58527	24641	872	7436	5022	17902	47370	99823	50528	207382	16951	99002	181324	244832	346634	347237	615152	380115	992658	956908	2353734	2263992	5736872	12379836	0
FFQ	22	0	0	1	0	0	206	434	561	7897	2354	30128	8718	463	345	466	3444	14105	6808	55464	24577	964	7912	5417	19574	50747	95770	50791	204953	17768	99467	188025	244289	343951	350108	618952	394176	997080	971236	2386223	2328738	5760105	12215572	0
FFQ	23	0	0	3	0	0	203	504	719	9061	3273	30941	8711	532	362	506	4173	15202	8761	54035	25884	1109	8782	5783	21928	58725	94736	52911	206552	18782	102530	197063	250872	341586	358315	625009	411660	1010760	979654	2435582	2370443	5776653	12015484	0
FFQ	24	0	0	60	0	0	251	603	773	10011	4201	30831	8232	587	480	616	4845	16556	11006	51055	26291	1275	9553	6155	24181	65639	91473	54261	205342	19864	104969	208930	255428	339895	367628	631420	428376	1020672	993991	2491042	2311430	5574321	12135546	0
FFQ	25	0	0	7	0	0	322	738	1086	12889	6043	34881	8688	648	622	761	5993	18709	13936	51455	28123	1527	10772	6883	27535	76233	89625	56987	208878	21002	109222	224111	261495	339606	378686	641992	449312	1033140	1006588	2548370	2327123	5644484	11859317	0
