Sample	Tolerated	Tolerated low confidence	Deleterious low confidence	Deleterious
MSL_CYP4F2	2.0	10.0	15.0	nan
MSL_GGCX	9.0	nan	nan	nan
MSL_OPRM1	nan	31.0	4.0	3.0
MSL_UGT2B7	nan	4.0	2.0	nan
MSL_VKORC1	1.0	1.0	5.0	nan
PJL_CALU	19.0	1.0	nan	nan
PJL_CYP2C9	nan	nan	1.0	nan
PJL_CYP4F2	nan	5.0	10.0	1.0
PJL_DRD2	2.0	nan	nan	6.0
PJL_GGCX	9.0	nan	nan	nan
PJL_OPRM1	nan	16.0	1.0	nan
PJL_UGT2B7	nan	4.0	nan	nan
PJL_VKORC1	nan	nan	nan	4.0
SAS_CALU	28.0	1.0	nan	nan
SAS_CYP2C9	nan	2.0	2.0	nan
SAS_CYP4F2	2.0	10.0	15.0	1.0
SAS_DRD2	2.0	nan	nan	6.0
SAS_GGCX	9.0	nan	nan	nan
SAS_OPRM1	nan	16.0	14.0	2.0
SAS_UGT2B7	nan	5.0	nan	nan
SAS_VKORC1	2.0	nan	nan	8.0
STU_CALU	19.0	1.0	nan	nan
STU_CYP4F2	nan	nan	5.0	nan
STU_OPRM1	nan	1.0	13.0	2.0
STU_UGT2B7	nan	4.0	nan	nan
TSI_CALU	28.0	1.0	nan	nan
TSI_CYP2C9	nan	nan	1.0	nan
TSI_CYP4F2	nan	5.0	20.0	nan
TSI_GGCX	9.0	nan	nan	nan
TSI_OPRM1	nan	16.0	13.0	2.0
TSI_UGT2B7	nan	4.0	nan	nan
YRI_CALU	28.0	1.0	nan	nan
YRI_CYP2C9	nan	3.0	2.0	nan
YRI_CYP4F2	3.0	15.0	20.0	nan
YRI_GGCX	9.0	nan	nan	nan
YRI_OPRM1	10.0	16.0	52.0	nan
YRI_UGT2B7	nan	4.0	nan	nan
YRI_VKORC1	1.0	1.0	3.0	nan
