Sample	00-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
STU_OPRM1	7.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
STU_UGT2B7	0.0	2.0	7.0	2.0	8.0	3.0	6.0	3.0	1.0	1.0
TSI_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TSI_CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
TSI_CYP2D6	0.0	0.0	2.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
TSI_CYP4F2	1.0	0.0	1.0	13.0	2.0	2.0	13.0	3.0	20.0	46.0
TSI_DRD2	0.0	0.0	0.0	7.0	1.0	0.0	1.0	15.0	0.0	1.0
TSI_GGCX	2.0	3.0	5.0	13.0	16.0	27.0	16.0	1.0	2.0	4.0
TSI_OPRM1	19.0	5.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0
TSI_UGT2B7	0.0	2.0	9.0	2.0	8.0	8.0	7.0	9.0	2.0	2.0
YRI_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YRI_CYP2C9	0.0	0.0	4.0	12.0	5.0	11.0	1.0	0.0	15.0	4.0
YRI_CYP4F2	20.0	47.0	28.0	16.0	2.0	3.0	15.0	6.0	20.0	46.0
YRI_DRD2	15.0	2.0	1.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0
YRI_GGCX	9.0	14.0	4.0	10.0	13.0	10.0	4.0	19.0	4.0	4.0
YRI_OPRM1	17.0	6.0	3.0	23.0	3.0	5.0	11.0	16.0	4.0	14.0
YRI_UGT2B7	0.0	2.0	7.0	2.0	9.0	4.0	14.0	6.0	2.0	8.0
YRI_VKORC1	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	5.0
