Sample	Benign	Possibly damaging	Probably damaging	Unknown
MSL_GGCX	9.0	nan	nan	nan
MSL_OPRM1	31.0	2.0	3.0	2.0
MSL_UGT2B7	4.0	2.0	nan	nan
MSL_VKORC1	nan	2.0	1.0	4.0
PJL_CALU	20.0	nan	nan	nan
PJL_CYP2C9	1.0	nan	nan	nan
PJL_CYP4F2	10.0	1.0	5.0	nan
PJL_DRD2	1.0	7.0	nan	nan
PJL_GGCX	9.0	nan	nan	nan
PJL_OPRM1	15.0	nan	nan	2.0
PJL_UGT2B7	4.0	nan	nan	nan
PJL_VKORC1	1.0	2.0	1.0	nan
SAS_CALU	29.0	nan	nan	nan
SAS_CYP2C9	1.0	1.0	2.0	nan
SAS_CYP4F2	18.0	1.0	9.0	nan
SAS_DRD2	1.0	7.0	nan	nan
SAS_GGCX	9.0	nan	nan	nan
SAS_OPRM1	25.0	3.0	2.0	2.0
SAS_UGT2B7	5.0	nan	nan	nan
SAS_VKORC1	3.0	4.0	3.0	nan
STU_CALU	20.0	nan	nan	nan
STU_CYP4F2	1.0	nan	4.0	nan
STU_OPRM1	10.0	3.0	2.0	1.0
STU_UGT2B7	4.0	nan	nan	nan
TSI_CALU	29.0	nan	nan	nan
TSI_CYP2C9	1.0	nan	nan	nan
TSI_CYP4F2	12.0	4.0	9.0	nan
TSI_GGCX	9.0	nan	nan	nan
TSI_OPRM1	25.0	3.0	2.0	1.0
TSI_UGT2B7	4.0	nan	nan	nan
YRI_CALU	29.0	nan	nan	nan
YRI_CYP2C9	5.0	nan	nan	nan
YRI_CYP4F2	25.0	4.0	9.0	nan
YRI_GGCX	9.0	nan	nan	nan
YRI_OPRM1	27.0	9.0	41.0	1.0
YRI_UGT2B7	4.0	nan	nan	nan
YRI_VKORC1	nan	2.0	1.0	2.0
