# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ASW/NA20339/aligned/NA20339.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a410a759	01b28d50	d2d49a64
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	72332428	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	72332428
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	36166214
SN	last fragments:	36166214
SN	reads mapped:	72226111
SN	reads mapped and paired:	72225660	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	106317
SN	reads properly paired:	71943586	# proper-pair bit set
SN	reads paired:	72332428	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	7330778	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	14178
SN	total length:	7298768756	# ignores clipping
SN	total first fragment length:	3649384378	# ignores clipping
SN	total last fragment length:	3649384378	# ignores clipping
SN	bases mapped:	7288040535	# ignores clipping
SN	bases mapped (cigar):	7283647123	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	17020926	# from NM fields
SN	error rate:	2.336869e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.8
SN	insert size average:	209.3
SN	insert size standard deviation:	71.2
SN	inward oriented pairs:	36072865
SN	outward oriented pairs:	5329
SN	pairs with other orientation:	5393
SN	pairs on different chromosomes:	29243
SN	percentage of properly paired reads (%):	99.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	16	0	0	2	0	0	105	155	143	4964	343	25969	7889	200	73	162	1380	10136	41618	18295	15425	501	4226	3069	10246	22952	85655	38394	172915	11331	66281	134613	189950	300353	444687	331743	298584	977966	862028	2622739	1935703	6963309	20562110	0
FFQ	17	0	0	0	0	0	112	176	177	5814	532	28831	8746	215	118	196	1560	10591	43360	18563	15611	503	4607	3271	10979	24149	84521	38182	174246	11772	67740	137277	190617	300257	450574	335375	307770	986356	876041	2665495	1954813	7098911	20308156	0
FFQ	18	0	0	1	0	0	128	190	259	5082	661	24921	7440	256	144	271	1849	10984	40840	19315	16769	595	4871	3458	12210	26912	88807	40881	180921	12724	71553	144856	198769	309150	468788	344024	323350	1010730	892755	2750401	1960264	7256145	19934940	0
FFQ	19	0	0	0	0	0	145	248	297	6266	957	28227	8420	287	200	250	2129	10216	3624	56493	16899	597	5356	3740	13407	29309	88784	41321	179043	13351	72707	150541	200451	308023	288342	540240	335812	871727	913879	2301319	2325420	7534080	19814107	0
FFQ	20	0	0	0	0	0	163	303	388	6809	1263	28595	8175	336	248	296	2540	11367	4930	57294	17889	787	5947	4237	14632	32844	89658	42958	182895	14167	76002	156762	207876	313583	298461	552397	351234	895929	935358	2392801	2406163	7694644	19356283	0
FFQ	21	0	0	0	0	0	179	297	436	7076	1590	27552	7896	403	347	390	3034	12456	6279	55802	18843	841	6428	4588	16994	37851	91386	45474	187414	15115	80276	166874	214108	317960	309049	567082	370947	919249	959484	2474884	2490597	7833711	18913322	0
FFQ	22	0	0	0	0	0	129	290	409	6555	1685	23964	6570	361	395	370	3244	11948	7994	49596	15160	1016	5792	4118	16409	32010	83993	39939	173400	12867	61748	168624	190280	309100	280868	537497	352322	817401	954163	2156699	2711662	6794709	20332927	0
FFQ	23	0	0	0	0	0	135	340	492	6547	2204	22362	6073	447	410	421	3748	12946	9660	45922	15544	1083	6275	4329	18503	36718	80867	40510	170822	13636	63505	176283	190677	297831	283767	530759	366151	816129	938270	2146459	2683644	6665497	20507248	0
FFQ	24	0	0	1	0	0	166	421	591	7378	2928	22700	5797	454	472	446	4360	13645	11579	42310	15370	1182	6601	4474	20560	43053	79001	41441	166470	14162	65268	184886	191925	288374	289151	523361	385396	817934	931829	2186247	2521030	6251972	21023279	0
FFQ	25	0	0	1	0	0	143	452	760	8387	3957	23216	5490	554	543	496	4904	14951	13477	38249	15753	1349	7140	4748	22244	49559	74487	42418	161182	14555	66088	192866	193853	276329	292950	515936	402550	815078	922587	2196733	2490651	6332706	20958872	0
FFQ	26	0	0	1	0	0	255	701	1280	14731	8200	37323	8117	644	778	664	6498	18712	18357	38555	17452	1491	7830	5140	24380	57720	72820	43003	156299	15235	67520	203873	194715	269621	299037	517668	424472	821711	930254	2224141	2463932	6458391	20734693	0
FFQ	27	0	0	2	0	0	284	788	1454	15366	10009	34074	6380	785	1012	784	8135	22942	23849	36203	17996	1742	8612	5710	26404	67815	73386	45013	159551	16713	70439	221113	200268	266210	309869	523657	450019	830503	938327	2271331	2446695	6627010	20425764	0
FFQ	28	0	0	2	0	0	286	1023	1893	19426	14137	36796	5391	956	1158	1026	9774	27305	27183	31768	18429	2060	9822	6402	28446	76449	73482	46554	155465	17732	71076	241964	203295	259640	318163	531396	480022	838654	950598	2321138	2429919	6772374	20135010	0
FFQ	29	0	0	3	0	0	347	1092	2170	20079	16699	32234	3697	1107	1485	1219	11238	31064	28989	27747	18401	2348	10693	6752	29783	83487	75377	47502	149224	18600	71199	259674	207343	247203	325681	531131	510669	842037	960413	2378795	2403266	6923389	19884077	0
FFQ	30	0	0	4	0	0	321	1158	2421	20695	19136	27034	2157	1199	1574	1306	12486	32309	25962	23642	17904	2580	10674	7143	29832	87475	75978	48426	138043	19768	72405	273369	206777	230859	331896	524261	540894	838399	963424	2430661	2373372	7091985	19678685	0
FFQ	31	0	0	44530	0	0	344	1375	2872	22126	23126	22811	1199	1384	1798	1547	14411	36038	22863	22563	18847	3015	12142	8102	31380	92604	80496	50101	132410	21741	73918	294436	212586	216434	345012	529430	582176	838087	983702	2507887	2362545	7207499	19342677	0
FFQ	32	0	0	60051	0	0	403	1645	3490	25754	29304	20085	762	1609	2149	1870	16845	39761	19207	22702	20019	3286	13336	9088	32398	97847	88127	53319	126113	23545	76094	316062	219033	203279	360904	528045	624027	837677	997970	2587284	2337777	7265213	19099494	0
FFQ	33	0	0	11740	0	0	429	1729	3884	27208	33197	15447	867	3175	2706	2284	28961	75817	20619	23108	22213	3960	14696	9844	33710	100924	96486	55280	120640	25593	78636	340042	225438	191059	378801	530525	675292	836461	1013897	2664901	2298260	7343355	18853694	0
FFQ	34	0	0	10	0	0	481	1944	4298	25726	34462	9701	922	3270	2973	2552	30046	69619	12842	21713	19985	4760	15565	11130	35006	99165	115531	55546	110582	27535	78138	350553	225635	175785	389035	519628	718441	816431	1026173	2710906	2253576	7412184	18772449	0
FFQ	35	0	0	984	0	0	504	2473	5475	30600	44856	7311	776	2673	3260	2971	25343	49300	8135	24409	22021	5318	17287	12337	37667	107636	111767	60943	112340	30724	84581	376119	237939	172211	418473	528547	770232	806908	1039264	2775740	2188398	7460361	18577872	0
FFQ	36	0	0	14	0	0	503	2645	5964	28169	42895	3734	869	2833	3750	3485	27261	47169	5972	23098	20726	5855	17973	12790	37512	104877	108187	62697	104156	33947	82959	381037	238369	164576	434054	520509	834335	786889	1078714	2827427	2190126	7497275	18419904	0
FFQ	37	0	0	17	0	0	618	3013	6836	29591	46792	2043	968	3067	4276	4097	29072	44254	4466	24316	21731	6441	19979	14112	39075	108347	104156	66133	104289	37077	87238	375673	245869	165256	453242	511850	886221	772881	1091168	2870476	2186243	7559086	18232826	0
FFQ	38	0	0	15	0	0	716	3724	8635	33015	54327	1208	1095	3573	5110	4896	33277	43295	4258	26151	24047	7524	22030	15780	42192	116734	104262	70764	108981	42087	92078	386643	256301	170911	482782	512974	944518	767456	1108702	2904656	2176218	7576037	18005401	0
FFQ	39	0	0	18	0	0	761	4401	10295	35348	59459	852	1313	4293	6082	5773	38364	42625	4483	26709	24671	8242	21961	17291	47082	119823	103474	74352	108974	47348	94478	392910	262388	174762	507838	511279	1000409	756932	1137865	2822765	2308243	7609785	17768314	0
FFQ	40	0	0	19	0	0	935	5443	12360	39638	66468	835	1550	5204	7605	7036	46708	43145	5246	28073	26286	9592	23720	19576	51433	126184	103610	79989	113412	53614	98228	401482	273472	183743	542083	517106	1060959	757269	1176305	2873803	2340031	7656596	17402826	0
FFQ	41	0	0	22	0	0	996	5441	12734	34707	58692	944	1904	5898	8861	8140	50886	38380	5546	28053	26053	11110	24894	21744	55515	128540	101820	84607	112883	61040	100721	404784	280649	190600	569034	517405	1114431	758688	1211071	2910506	2376663	7707938	17129333	0
FFQ	42	0	0	27	0	0	1040	6211	14847	35726	60585	933	2042	6395	10039	9162	51986	32250	6280	28813	27127	12434	26098	23628	59845	131484	92993	90019	115228	68491	104866	404754	289502	198604	601754	521218	1167733	767345	1246760	2947926	2402956	7735911	16857894	0
FFQ	43	0	0	33	0	0	1120	6499	15470	34258	55959	1042	2180	6828	10890	9843	52767	26145	6651	28556	26084	13616	26836	25617	62374	131192	85124	93573	113777	75433	105669	395115	294024	204677	623338	521010	1209765	776889	1287065	2959896	2453235	7777548	16640514	0
FFQ	44	0	0	28	0	0	1260	7440	18070	35961	59289	1159	2494	7363	12332	11122	53514	21149	7558	29942	27574	15179	27894	28040	67117	134503	77657	99467	116467	83935	110494	387823	305114	215205	646988	531827	1254087	803276	1319445	2988080	2466613	7790063	16394788	0
FFQ	45	0	0	31	0	0	1348	8112	19837	36229	57962	1293	2766	7765	13774	12274	54872	17064	8342	28965	27957	21345	24434	29782	74650	136535	73053	105410	117804	94099	116112	383409	314956	224869	670979	546824	1300317	832644	1364305	3020108	2442496	7875299	16092058	0
FFQ	46	0	0	2484	0	0	1451	9052	22477	37800	58789	1452	3102	8352	15744	14229	55227	13894	9128	29802	29171	23546	25466	33052	81498	140303	66925	113028	120221	105633	121545	382093	327740	237601	697835	568778	1350901	871482	1412853	3060189	2495171	7868051	15743773	0
FFQ	47	0	0	827	0	0	1184	8625	21949	36716	56705	1707	3643	9599	18388	15408	58440	10741	8793	27845	26109	25651	24551	35218	84870	137366	62188	113412	109971	117050	111031	381370	318030	231353	700956	543886	1414972	829746	1452816	2821025	2725553	7421507	16190397	0
FFQ	48	0	0	3083	0	0	1407	10141	26133	41082	60856	1739	3829	10125	20884	17474	58666	8945	9659	29065	27365	25728	25117	36735	89629	137430	53288	117677	112061	123187	115790	359365	322941	236833	688075	562526	1469513	867559	1475648	2759630	2684266	7270174	16295748	0
FFQ	49	0	0	1965	0	0	1348	9488	24976	36011	49596	1852	4303	11452	22756	18571	57669	7336	9770	27533	25971	27350	24463	39061	84964	138590	45459	118774	111350	132102	116725	344879	324706	242313	684722	576563	1513598	920011	1521998	2421095	2949044	7170342	16340432	0
FFQ	50	0	0	1695	0	0	1456	10334	27633	38728	50584	1995	4410	11297	24219	19635	49918	6336	10378	29013	27122	28989	25405	41789	89761	138055	38240	126382	114535	142974	122333	331908	337067	252487	686447	611592	1597501	964701	1569424	2390641	2954814	7062983	16216151	0
FFQ	51	0	0	614	0	0	1542	10976	29299	40297	48679	2011	4771	11668	26219	21055	45720	5764	10907	29658	27510	30869	25337	44152	93985	134594	33317	131048	113978	154648	127256	319462	345208	260916	684550	644271	1690242	1005139	1628301	2359165	2997321	6972138	16046146	0
FFQ	52	0	0	63	0	0	1473	9923	27151	36214	38513	2051	5070	12114	28033	21271	41201	5594	10925	29673	26332	33033	25526	46999	97457	130266	29166	136405	112403	167193	130642	310085	355580	271898	689181	685790	1790784	1051820	1699628	2339522	3065562	6900667	15793319	0
FFQ	53	0	0	342	0	0	1771	11181	31106	41639	39801	2214	5223	11538	29309	21800	34183	5550	11693	32425	28147	35121	26457	50731	104255	127207	25794	146000	115323	182091	140024	300259	371524	288597	696459	737618	1905803	1113324	1770066	2337990	3118214	6823083	15434462	0
FFQ	54	0	0	93	0	0	1784	11425	31611	42492	35913	2499	5835	12266	32271	22838	30513	5611	12071	33058	27900	37838	27079	54332	108960	124500	23956	154107	114659	199600	146612	293578	388295	302899	704237	790779	2031103	1174500	1858014	2336386	3206728	6750169	15021602	0
FFQ	55	0	0	109	0	0	1862	11340	31712	42416	30268	2683	6123	11847	34498	23775	27122	5335	12451	34526	27529	39124	28886	58432	111700	88847	51779	161789	113072	214727	152871	285860	403071	318436	705277	851231	2164348	1240132	1868967	2389192	3298721	6658895	14648965	0
FFQ	56	0	0	126	0	0	2198	12609	35612	49082	30525	2930	6836	12053	36947	24014	23070	5682	13244	36356	28343	42013	29964	62205	116899	82807	52552	171448	112859	229731	160739	279961	420088	332554	711454	908053	2312951	1306741	1949016	2365468	3384328	6527563	14278681	0
FFQ	57	0	0	146	0	0	2354	13031	37397	52260	27139	3298	7566	12792	41668	25770	22034	6221	14049	39976	29826	45777	32053	68779	122995	79357	55539	183033	116487	246518	173048	275681	442962	353065	723303	972308	2473114	1390721	2035342	2365647	3450313	6422201	13793735	0
FFQ	58	0	0	168	0	0	2678	13279	39050	54646	23583	3618	8319	13152	44211	25091	18624	6062	14518	42058	29208	49281	33341	74878	127190	74165	57632	194576	115451	266663	181590	276971	463686	373977	738002	1044332	2648611	1468260	2135131	2355185	3555144	6293409	13291542	0
FFQ	59	0	0	199	0	0	2870	13901	41365	59195	20456	3942	9137	13321	47191	23867	16373	6177	15035	45027	29364	49124	33046	86686	121803	65924	56803	220580	115334	281138	192436	276662	485897	393485	751570	1115178	2837814	1557805	2231380	2337617	3613601	6139138	12846607	0
FFQ	60	0	0	230	0	0	3060	14202	43323	63473	17532	4379	9746	13542	50346	23637	14771	6290	15782	48080	29597	52770	34491	94362	123467	62248	60271	234769	116177	297047	205090	278369	511802	416570	768125	1193176	3041283	1650539	2334637	2325303	3734579	5989019	12274723	0
FFQ	61	0	0	293	0	0	3339	14494	45710	67461	14320	4600	10585	13585	52977	22614	13332	6444	16768	51521	29933	56877	35867	102101	123925	58481	63782	248418	115976	311130	217080	283301	535098	439931	784620	1270972	3261184	1749385	2441185	2303322	3842143	5817750	11726092	0
FFQ	62	0	0	2959	0	0	3613	15347	49035	72909	12038	5101	11454	13957	55635	21882	12565	6325	17138	53960	28763	59671	37821	107708	121105	54850	66034	261453	115594	321352	228161	289061	554645	461277	801388	1349592	3496937	1849191	2553078	2260765	3963707	5629648	11190645	0
FFQ	63	0	0	7152	0	0	3654	13871	47343	68832	8150	5644	12613	14238	57766	21022	12147	6485	17475	55809	27520	63706	38507	114540	119908	54009	69118	274248	115175	332423	239311	298966	580241	486046	824851	1436168	3753357	1958586	2673693	2230305	4070523	5429757	10612973	0
FFQ	64	0	0	12603	0	0	4216	14253	50478	71212	6094	5961	12766	13469	56987	18728	11554	6315	18268	59030	27065	67147	39751	120390	115193	51913	72920	287653	115872	337514	254043	309960	600895	511422	847039	1523146	4024238	2074881	2793078	2189120	4188638	5214061	10027976	0
FFQ	65	0	0	19046	0	0	4483	13888	52676	72513	4393	6477	13661	13588	57273	17247	10167	7781	19381	52480	36764	69588	41558	117554	120191	51201	77914	296917	100031	333785	292145	321614	622823	538134	871352	1614185	4322603	2197137	2915699	2149756	4274378	5008406	9416739	0
