# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/ITU/HG03723/aligned/HG03723.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	05bc82bd	50070ee2	b8ee4fe1
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	62165860	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	62165860
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31082930
SN	last fragments:	31082930
SN	reads mapped:	62162948
SN	reads mapped and paired:	62161856	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	2912
SN	reads properly paired:	61953578	# proper-pair bit set
SN	reads paired:	62165860	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5139025	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	44751
SN	total length:	6212665528	# ignores clipping
SN	total first fragment length:	3106332764	# ignores clipping
SN	total last fragment length:	3106332764	# ignores clipping
SN	bases mapped:	6212382514	# ignores clipping
SN	bases mapped (cigar):	6202837130	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	22445236	# from NM fields
SN	error rate:	3.618544e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.8
SN	insert size average:	226.9
SN	insert size standard deviation:	74.0
SN	inward oriented pairs:	31003080
SN	outward oriented pairs:	5281
SN	pairs with other orientation:	4590
SN	pairs on different chromosomes:	67977
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	16	0	0	0	0	0	183	205	192	7147	498	42807	14730	242	70	201	1630	16255	52247	32972	34318	652	7267	5192	15414	50665	141725	63764	289173	19649	130459	213780	320783	472541	742229	497283	437129	1488583	1211021	3508584	2190552	6425146	12647642	0
FFQ	17	0	0	14	0	0	190	203	248	8123	716	45911	15524	330	125	244	1980	17069	54494	34547	35018	687	7745	5481	16305	53683	142722	65098	291500	20615	133790	218954	326030	475490	751040	502345	447208	1496256	1223283	3542077	2208839	6458589	12480457	0
FFQ	18	0	0	396	0	0	199	215	307	8330	981	45041	15163	336	124	258	2355	17118	54894	34960	35886	748	8058	5881	17739	56361	143712	66320	294980	20677	136462	225722	327908	480057	759565	507159	459245	1505481	1233256	3571719	2215306	6508696	12321315	0
FFQ	19	0	0	0	0	0	227	293	368	9009	1364	45603	15415	369	170	276	2787	16389	4072	87131	36744	781	8777	6113	19495	60346	143240	67850	296497	21445	139581	231977	332652	479661	460943	825622	471016	1319755	1228978	2955497	2711035	6756378	12325074	0
FFQ	20	0	0	0	0	0	249	397	513	10275	2018	49624	16551	433	207	331	3276	17882	5676	87133	38157	889	9531	6574	21742	66029	143999	69593	299755	22828	142931	240499	339914	482567	470024	836492	484422	1335053	1241311	2999316	2761780	6769425	12105534	0
FFQ	21	0	0	0	0	0	303	409	590	11454	2716	50115	15965	473	311	453	4035	18850	7577	87682	39066	1042	10081	6805	23949	71062	142408	70908	302705	23617	145441	250939	343286	485048	477777	848172	498107	1347461	1264359	3042264	2828800	6768116	11890584	0
FFQ	22	0	0	0	0	0	306	515	641	11508	3422	47124	14606	583	363	557	4660	19977	9750	83163	38982	1169	10929	7231	26511	77303	139133	72671	301678	24237	147069	258344	346322	484099	483953	855934	514354	1358809	1283785	3086708	2902686	6769349	11694499	0
FFQ	23	0	0	45	0	0	329	613	880	13352	4725	49156	14599	630	484	615	5521	21735	12172	81424	40826	1354	11890	7734	29706	87890	136632	74754	303163	26097	152631	273648	354372	484342	495866	870007	533237	1376396	1298478	3144032	2961929	6772825	11438841	0
FFQ	24	0	0	2	0	0	361	789	1075	15041	6198	48895	14033	795	563	780	6585	23821	15569	78161	41631	1537	12603	8218	32722	98167	131711	75729	302098	27340	155165	288090	358807	479312	504674	876816	554693	1385934	1319317	3214131	2895229	6525528	11580810	0
FFQ	25	0	0	5	0	0	427	856	1271	16943	8034	48637	12754	900	708	885	7793	25549	18982	74075	43082	1827	13821	9105	36582	110636	126144	79270	300780	28603	159536	304947	365196	475274	515466	887463	578645	1399716	1335609	3276253	2921013	6593564	11302579	0
